id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22411274,Amzing & Cozy Apt In Down Town Montreal,135226381,Skandar,,Le Plateau-Mont-Royal,45.50683,-73.57418,Entire home/apt,80,2,1,2017-12-31,0.04,1,0
22416684,North Pearl in Downtown Montreal,154505917,Joe,,Le Sud-Ouest,45.4914,-73.56025,Entire home/apt,149,14,41,2019-12-06,1.70,15,125
22421144,Traveler's Ghibli themed stop in Montreal by Ze,32440665,Zeshan,,Ville-Marie,45.51161,-73.5618,Entire home/apt,55,1,2,2018-01-14,0.08,1,0
22422321,.,42063278,Henriette,,Anjou,45.59699,-73.55537,Private room,30,1,3,2018-11-23,0.20,1,0
22422438,Apartment in Plateau MontRoyal Large Sunny Terrace,145034469,Julien,,Le Plateau-Mont-Royal,45.53077,-73.57611,Entire home/apt,57,2,0,,,1,0
22428227,Simplicité à 2 pas du Lac des Castors,13481814,Ariane,,Westmount,45.49525,-73.60685,Private room,30,2,0,,,1,0
22429759,Upper duplex in Montréal South-West,164272221,Andrew,,Le Sud-Ouest,45.46074,-73.59049,Entire home/apt,48,2,43,2020-01-01,1.83,1,78
22430241,BEAUTIFUL APARTMENT IN HEART OF MILE_END,81336108,Sam,,Le Plateau-Mont-Royal,45.5228,-73.59853,Entire home/apt,251,5,0,,,1,0
22431012,"Spacious 7 bedroom apt. near metro,HEC,UdeM",159374745,Louie And Rose,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49246,-73.62589,Entire home/apt,500,2,6,2019-08-11,0.28,18,0
22431661,Chambre sur le Plateau Mont-Royal,133834930,Gwennaëlle,,Le Plateau-Mont-Royal,45.53076,-73.58041,Private room,27,1,0,,,1,0
22439472,Nuns' Island home!,163663941,Anne,,Verdun,45.45288,-73.5474,Entire home/apt,120,1,0,,,1,0
22451764,Spacious Montreal Condo (Private Parking),131523519,Andrew,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46902,-73.61194,Entire home/apt,50,1,183,2019-12-20,7.51,1,213
22452655,Cozy room next to Jean-Talon's station,29965476,Frédérique,,Rosemont-La Petite-Patrie,45.54117,-73.61121,Private room,40,2,6,2019-11-27,0.30,2,89
22452954,Grande Chambre en plein coeur des spectacles,164528700,Léandre,,Ville-Marie,45.51432,-73.56222,Private room,70,1,0,,,1,0
22454075,Sunny luxury 2-floor apartment in Mile End,164542838,Nadine And Julien,,Le Plateau-Mont-Royal,45.52395,-73.60526,Entire home/apt,150,2,27,2018-06-15,1.11,1,0
22461121,Chambre privée en face du métro Laurier,22160406,Pinard,,Le Plateau-Mont-Royal,45.52745,-73.58606,Private room,29,1,2,2018-01-07,0.08,1,0
22461127,LOFT LE KORNER,161262967,Kasa,,Ville-Marie,45.51868,-73.55614,Entire home/apt,150,28,1,2018-02-19,0.04,1,0
22462389,1-Bedroom Apt with Perfect View Downtown Montreal,164634094,Amin,,Le Plateau-Mont-Royal,45.51122,-73.57743,Entire home/apt,59,3,3,2018-06-25,0.13,1,0
22463002,Homeshare Condo Downtown/Entertainment District,20442172,Sarah,,Ville-Marie,45.50841,-73.5702,Private room,50,2,5,2019-01-06,0.23,3,0
22463247,Loft centre-ville,31067265,Geneviève,,Ville-Marie,45.51299,-73.56728,Entire home/apt,60,180,1,2019-06-26,0.15,1,159
22464989,Montréal en toute simplicité,23980083,Catherine,,Rosemont-La Petite-Patrie,45.52941,-73.60385,Entire home/apt,57,6,13,2019-08-07,0.57,1,87
22465080,Well-located and Luminous Apartment in Downtown!,164660299,Amir,,Westmount,45.4852,-73.58241,Private room,40,2,89,2020-01-02,3.71,1,25
22465540,Appartement charmant au coeur du Village.,70494198,Esther,,Ville-Marie,45.52089,-73.55196,Entire home/apt,59,4,0,,,1,0
22465661,"Bachelor Apartment in Saint-Leonard, Montreal",59305308,Katie,,Saint-Léonard,45.58731,-73.58815,Entire home/apt,60,2,38,2019-09-15,1.70,1,83
22466358,Master Bedroom in Large Penthouse Apartment,8056138,Elsa,,Le Plateau-Mont-Royal,45.50818,-73.57652,Private room,35,2,1,2018-01-11,0.04,1,0
22468924,Montreal Plateau - Bedroom in heart of the plateau,164703199,Sam,,Le Plateau-Mont-Royal,45.51721,-73.57638,Private room,90,1,0,,,1,0
